id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
4650,03N,small_airport,"Utirik Airport",11.2220001220703,169.852005004883,4,OC,MH,MH-UTI,"Utirik Island",yes,03N,UTK,03N,,,
11776,4W6,closed,"Blaine Municipal Airport",48.9901008606,-122.732002258,75,NA,US,US-WA,Blaine,no,4W6,BWS,4W6,,,
12243,5A8,medium_airport,"Aleknagik / New Airport",59.2826004028,-158.617996216,66,NA,US,US-AK,Aleknagik,yes,5A8,WKK,5A8,,http://en.wikipedia.org/wiki/Aleknagik_Airport,
13405,6N5,heliport,"East 34th Street Heliport",40.7425994873047,-73.9720993041992,10,NA,US,US-NY,"New York",yes,6N5,TSS,6N5,,,
41841,AD-ALV,heliport,"Andorra la Vella Heliport",42.5004997253,1.5171200037,3450,EU,AD,AD-07,"Andorra La Vella",no,,ALV,,,,
35172,AGAT,small_airport,"Uru Harbour Airport",-8.87333011627197,161.011001586914,,OC,SB,SB-ML,Atoifi,yes,AGAT,ATD,,,,
32570,AGBA,small_airport,"Barakoma Airport",-7.91277980804443,156.705993652344,,OC,SB,SB-WE,Barakoma,no,AGBA,VEV,,,,
31524,AGEV,small_airport,"Geva Airport",-7.57582998275757,156.59700012207,,OC,SB,SB-WE,Liangia,no,AGEV,GEF,,,,
30634,AGGA,small_airport,"Auki Airport",-8.70256996154785,160.682006835938,5,OC,SB,SB-ML,Auki,yes,AGGA,AKS,,,,
30678,AGGE,small_airport,"Ballalae Airport",-6.96700000762939,155.882995605469,5,OC,SB,SB-WE,Ballalae,yes,AGGE,BAS,,,,
35167,AGGF,small_airport,"Fera/Maringe Airport",-8.10750007629395,159.576995849609,,OC,SB,SB-IS,"Fera Island",yes,AGGF,FRE,,,,"Santa Isabel Islands"
3,AGGH,medium_airport,"Honiara International Airport",-9.42800045013428,160.054992675781,28,OC,SB,SB-CT,Honiara,yes,AGGH,HIR,,,http://en.wikipedia.org/wiki/Honiara_International_Airport,
31885,AGGI,small_airport,"Babanakira Airport",-9.7475004196167,159.839004516602,,OC,SB,SB-GU,Mbambanakira,yes,AGGI,MBU,,,,"Mbambanakira Airport"
31686,AGGK,small_airport,"Ngorangora Airport",-10.4497003555298,161.897994995117,,OC,SB,SB-MK,Kirakira,yes,AGGK,IRA,,,,
32275,AGGL,small_airport,"Santa Cruz/Graciosa Bay/Luova Airport",-10.7202997207642,165.794998168945,18,OC,SB,SB-TE,"Santa Cruz/Graciosa Bay/Luova",yes,AGGL,SCZ,,,,
4,AGGM,medium_airport,"Munda Airport",-8.32796955108643,157.263000488281,10,OC,SB,SB-WE,,yes,AGGM,MUA,,,http://en.wikipedia.org/wiki/Munda_Airport,
31563,AGGN,small_airport,"Nusatupe Airport",-8.09778022766113,156.863998413086,13,OC,SB,SB-WE,Gizo,yes,AGGN,GZO,,,,
31932,AGGO,small_airport,"Mono Airport",-7.41694021224976,155.565002441406,,OC,SB,SB-WE,"Stirling Island",yes,AGGO,MNY,,,http://en.wikipedia.org/wiki/Mono_Airport,
32174,AGGP,small_airport,"Parasi Airport",-9.64167022705078,161.425003051758,,OC,SB,SB-ML,Parasi,no,AGGP,PRS,,,,
35171,AGGR,small_airport,"Rennell/Tingoa Airport",-11.5339002609253,160.063003540039,,OC,SB,SB-RB,"Rennell Island",yes,AGGR,RNL,,,,
30989,AGGS,small_airport,"Sege Airport",-8.57888984680176,157.876007080078,,OC,SB,SB-WE,Sege,no,AGGS,EGM,,,,
32238,AGGU,small_airport,"Marau Airport",-9.86166954040527,160.824996948242,,OC,SB,SB-GU,Marau,yes,AGGU,RUS,,,,
32564,AGGV,small_airport,"Suavanao Airport",-7.5855598449707,158.731002807617,,OC,SB,SB-IS,Suavanao,yes,AGGV,VAO,,,,
35169,AGKG,small_airport,"Kagau Island Airport",-7.33300018310547,157.582992553711,,OC,SB,SB-CH,"Kagau Island",yes,AGKG,KGE,,,,
32211,AGRC,small_airport,"Ringi Cove Airport",-8.12639045715332,157.143005371094,,OC,SB,SB-WE,"Ringi Cove",no,AGRC,RIN,,,,
35170,AGRM,small_airport,"Ramata Airport",-8.16806030273438,157.643005371094,,OC,SB,SB-WE,Ramata,yes,AGRM,RBV,,,http://en.wikipedia.org/wiki/Ramata_Airport,
45229,AMC,large_airport,"Mar de CortÃ©s International Airport",31.351621252,-113.305864334,71,NA,MX,MX-SON,"Puerto PeÃ±asco",yes,,AMC,,,http://en.wikipedia.org/wiki/Mar_de_Cort%C3%A9s_International_Airport,
8,ANYN,medium_airport,"Nauru International Airport",-0.547458,166.919006,22,OC,NR,NR-14,"Yaren District",yes,ANYN,INU,,,http://en.wikipedia.org/wiki/Nauru_International_Airport,ANAU
30840,AO-CNZ,small_airport,"Cangamba Airport",-13.710599899292,19.8610992431641,,AF,AO,AO-MOX,Cangamba,no,,CNZ,,,,
43323,AO-DRC,small_airport,"Dirico Airport",-17.9819240570068,20.7680606842041,3504,AF,AO,AO-CCU,Dirico,no,,DRC,,,,
43325,AO-GGC,small_airport,"Lumbala Airport",-12.6398773193359,22.586820602417,3510,AF,AO,AO-MOX,Lumbala,no,,GGC,,,,
43324,AO-JMB,small_airport,"Jamba Airport",-14.6981925964355,16.0701484680176,4912,AF,AO,AO-HUA,Jamba,no,,JMB,,,,
43322,AO-KNP,small_airport,"Capanda Airport",-9.76937007904053,15.4553194046021,3366,AF,AO,AO-MAL,Capanda,no,,KNP,,,,
43326,AO-NDF,small_airport,"Ndalatandos Airport",-9.27518844604492,14.9772424697876,2684,AF,AO,AO-CNO,Ndalatandos,no,,NDF,,,,
35399,AR-0005,small_airport,"Bragado Airport",-35.144,-60.4803,196,SA,AR,AR-B,Bragado,no,,QRF,BRA,,,
35400,AR-0006,small_airport,"Brigadier Hector Ruiz Airport",-37.4333000183105,-67.88330078125,228,SA,AR,AR-B,"Coronel Suarez",no,,CSZ,,,,
35401,AR-0007,small_airport,"Caleta Olivia Airport",-46.4318008422852,-67.5186004638672,37,SA,AR,AR-Z,"Caleta Olivia",no,,CVI,,,,
35403,AR-0009,small_airport,"Charata Airport",-27.2164,-61.2103,318,SA,AR,AR-H,Charata,no,,CNT,CHA,,,
35404,AR-0010,small_airport,"General Villegas Airport",-35,-63,383,SA,AR,AR-B,"General Villegas",no,,VGS,GAS,,,
35405,AR-0011,small_airport,"Los Menucos Airport",-40.817699432373,-68.0746994018555,2571,SA,AR,AR-R,"Los Menucos",no,,LMD,,,,
35409,AR-0015,closed,"Saenz PeÃ±a Airport",-26.8157997131348,-60.448299407959,20,SA,AR,AR-H,"Presidencia Roque SÃ¡enz PeÃ±a",no,,SZQ,,,,
35410,AR-0016,small_airport,"Antoine De Saint Exupery Airport",-40.7401008605957,-64.9804992675781,85,SA,AR,AR-B,"San Antonio Oeste",no,,OES,,,,
35412,AR-0017,small_airport,"Valcheta Airport",-40.7000007629395,-66.1500015258789,629,SA,AR,AR-R,Valcheta,no,,VCF,,,,
35413,AR-0018,small_airport,"Villa Mercedes Airport",-33.6349983215332,-65.418701171875,1689,SA,AR,AR-D,"Villa Mercedes",no,,VME,,,,
32422,AS-TAV,small_airport,"Tau Airport",-14.2292003631592,-169.511001586914,185,OC,AS,AS-U-A,"Tau Village",no,,TAV,HI36,,,
30622,AU-AGW,small_airport,"Agnew Airport",-12.1456003189087,142.149002075195,,OC,AU,AU-QLD,Agnew,no,,AGW,,,,
30666,AU-AYD,small_airport,"Alroy Downs Airport",-19.2908000946045,136.078994750977,,OC,AU,AU-NT,"Alroy Downs",no,,AYD,,,,
30669,AU-AYL,small_airport,"Anthony Lagoon Airport",-18.0216999053955,135.542007446289,,OC,AU,AU-NT,"Anthony Lagoon",no,,AYL,,,,
30687,AU-BCK,small_airport,"Bolwarra Airport",-17.3882999420166,144.169006347656,,OC,AU,AU-QLD,Bolwarra,no,,BCK,,,,
30697,AU-BFC,small_airport,"Bloomfield Airport",-15.8736000061035,145.330001831055,,OC,AU,AU-QLD,Bloomfield,no,,BFC,,,,
30803,AU-BVW,small_airport,"Batavia Downs Airport",-12.6591997146606,142.675003051758,,OC,AU,AU-QLD,"Batavia Downs",no,,BVW,,,,
30808,AU-BYX,small_airport,"Baniyala Airport",-13.1981000900269,136.227005004883,,OC,AU,AU-NT,Baniyala,no,,BYX,,,,
30841,AU-COB,small_airport,"Coolibah Airport",-15.5482997894287,130.962005615234,,OC,AU,AU-NT,Coolibah,no,,COB,,,,
30849,AU-CQP,small_airport,"Cape Flattery Airport",-14.9709997177124,145.311004638672,,OC,AU,AU-QLD,"Cape Flattery",no,,CQP,,,,
30851,AU-CRJ,small_airport,"Coorabie Airport",-31.8943996429443,132.296005249023,,OC,AU,AU-SA,Coorabie,no,,CRJ,,,,
30853,AU-CRY,small_airport,"Carlton Hill Airport",-15.5018997192383,128.533996582031,,OC,AU,AU-WA,"Carlton Hill",no,,CRY,,,,
30855,AU-CSD,small_airport,"Cresswell Downs Airport",-17.9479999542236,135.916000366211,,OC,AU,AU-NT,"Cresswell Downs",no,,CSD,,,,
30859,AU-CTR,small_airport,"Cattle Creek Airport",-17.6070003509521,131.54899597168,,OC,AU,AU-NT,"Cattle Creek",no,,CTR,,,,
30959,AU-DYM,small_airport,"Diamantina Lakes Airport",-23.7616996765137,141.145004272461,,OC,AU,AU-QLD,"Diamantina Lakes",no,,DYM,,,,
30981,AU-EDD,small_airport,"Erldunda Airport",-25.2057991027832,133.253997802734,,OC,AU,AU-NT,Erldunda,no,,EDD,,,,
31001,AU-EKD,small_airport,"Elkedra Airport",-21.1725006103516,135.444000244141,,OC,AU,AU-NT,Elkedra,no,,EKD,,,,
31570,AU-HAT,small_airport,"Heathlands Airport",-11.7369003295898,142.576995849609,,OC,AU,AU-QLD,Heathlands,no,,HAT,,,,
31578,AU-HIG,small_airport,"Highbury Airport",-16.4244003295898,143.14599609375,,OC,AU,AU-QLD,Highbury,no,,HIG,,,,
35302,AU-HIS,seaplane_base,"Hayman Island Resort Seaplane Base",-20.0599994659424,148.880996704102,,OC,AU,AU-QLD,"Hayman Island",yes,,HIS,,,,
31606,AU-HLV,small_airport,"Helenvale Airport",-15.6857995986938,145.214996337891,,OC,AU,AU-QLD,Helenvale,no,,HLV,,,,
31723,AU-KBD,small_airport,"Kimberley Downs Airport",-17.3978004455566,124.355003356934,,OC,AU,AU-WA,"Kimberley Downs",no,,KBD,,,,
31745,AU-KGR,small_airport,"Kulgera Airport",-25.8428001403809,133.292007446289,,OC,AU,AU-NT,Kulgera,no,,KGR,,,,
31766,AU-KOH,small_airport,"Koolatah Airport",-15.8886003494263,142.438995361328,,OC,AU,AU-QLD,Koolatah,no,,KOH,,,,
31791,AU-KYF,small_airport,"Yeelirrie Airport",-27.2768993377686,120.096000671387,,OC,AU,AU-WA,Yeelirrie,no,,KYF,,,,
31820,AU-LIB,small_airport,"Limbunya Airport",-17.2355995178223,129.88200378418,,OC,AU,AU-NT,Limbunya,no,,LIB,,,,
31931,AU-MNW,small_airport,"Macdonald Downs Airport",-22.4440002441406,135.199005126953,,OC,AU,AU-NT,"Macdonald Downs",no,,MNW,,,,
31969,AU-MUP,small_airport,"Mulga Park Airport",-25.8600006103516,131.649993896484,,OC,AU,AU-NT,"Mulga Park",no,,MUP,,,,
31980,AU-MWY,small_airport,"Miranda Downs Airport",-17.3288993835449,141.886001586914,,OC,AU,AU-QLD,"Miranda Downs",no,,MWY,,,,
31995,AU-MYO,small_airport,"Camballin Airport",-18.1247005462646,124.272003173828,,OC,AU,AU-WA,Myroodah,no,,MYO,,,,
32032,AU-NKB,small_airport,"Noonkanbah Airport",-18.4946994781494,124.851997375488,,OC,AU,AU-WA,Noonkanbah,no,,NKB,,,,
32109,AU-OKB,small_airport,"Orchid Beach Airport",-24.959400177002,153.315002441406,,OC,AU,AU-QLD,"Orchid Beach",no,,OKB,,,,
32152,AU-PEP,small_airport,"Peppimenarti Airport",-14.1442003250122,130.091003417969,,OC,AU,AU-NT,Peppimenarti,no,,PEP,,,,
32201,AU-RDA,small_airport,"Rockhampton Downs Airport",-18.9533004760742,135.20100402832,,OC,AU,AU-NT,"Rockhampton Downs",no,,RDA,,,,
32384,AU-SSK,small_airport,"Sturt Creek Airport",-19.1664009094238,128.17399597168,,OC,AU,AU-WA,"Sturt Creek",no,,SSK,,,,
